"ID"	"Nombre"	"Texto"	"Email"	"Web"	"Teléfono"	"Logo"	"Documento"	"Categoría"
11	"IORE ABOGADOS"	"Asesoramiento legal:
- Primera consulta gratuita, para exponer el caso ante un letrado y que éste le aconseje sobre las posibles vías de actuación.
- Descuentos especiales para asociados por la prestación del servicio legal que requieran.
"		"http://www.ioreabogados.com"	"948 20 36 46"			"ASESORAMIENTO LEGAL"
12	"LAZARAU"	"Asesoría fiscal, laboral, contable y subveniones que ofrece precios especiales a los asociados. Consúltanos!"		"asesoria@lazarau.com"	"948 29 16 40"			"ASESORIA"
13	"NACEX"	" Envíos hasta 10 Kg a toda Navarra por 2,5 € + iva
Envíos nacionales a precios especiales."			629855723			"ENVIO"
14	"NEXOR"	"Servicio integral de Asesoría Contable, Fiscal y Laboral, adaptado a las necesidades del cliente.
Condiciones especiales con posibilidad de tarifa plana en exclusiva para asociados."		"http://nexorasesores.com"	"948 24 06 09"			"ASESORIA"
15	"ORANGE"	"Aumentan la oferta con las siguientes condiciones especiales,
ÚNICAMENTE para nuestros asociados y vigentes en exclusiva en la
tienda propia ORANGE sita en Avda. Carlos III, 9:1. 15% de descuento en todas las líneas móviles, durante 18
meses.
2. Las tarifas de ADSL para Pymes más competitivas del
mercado. 10 € de descuento sobre cuota ADSL +
Profesional.
3. Subvención de teléfonos, garantizando un descuento
adicional de 70 € en el PVP del terminal respecto de la oferta
estándar para aquellos asociados que contraten una línea
fija y una línea móvil (Pack Conecta).
4. Servicio postventa personalizado en la Tienda Orange de
Carlos III (Horario 10:00h - 21:00h):
* Plan de visitas a domicilio para detectar las necesidades de
cada miembro, organizando estas visitas en función de la finalización
de la permanencia de cada asociado con su operador.
* Todos los asociados pueden solicitar cita previa en la Tienda
llamando al número 948226085 o 656163135, sin esperas. Y serán atendidos en el Back Office.

"			948226085			"TELEFONÍA"
16	"TICKETS DE PARKING"	"Hasta un 45% de descuento en tickets de parking en Baluarte, Blanca de Navarra y Autobuses."						"APARCAMIENTO"
17	"PRINTIT"	" Empresa líder en impresión digital bajo demanda.
Ofrecen a nuestros asociados 15% de descuento y portes gratis en:

    Papelería y publicidad: tarjetas de visita, sobres de todos los tamaños, tarjetones de publicidad, buzoneos PVC de fidelización, cartelería pequeño y gran formato…
    Mailing personalizado para campañas específicas.
    Cartelería gran formato: carteles fotográficos sobre diversos soportes (forex, cartón pluma, akiplack)…
    Vinilos: para interior y exterior, corte, soportes varios…

Flexibilidad a la hora de encargar un trabajo: no es preciso hacer un pedido mínimo.
Asesoramiento profesional para un trabajo en condiciones, de calidad y a tiempo.

"	"digital@printitsl.com"		"948 34 64 47"			"IMPRESIÓN DIGITAL"
18	"FCN"	"La Federación de Comercios te ofrece un servicio más económico, muy completo. Hecho por comerciantes para comerciantes."						"PREVENCIÓN DE RIESGOS"
19	" AMBIENT REFORMAS"	" Reformas y mantenimiento para comercios y particulares.
Servicios 24 horas al día los 365 días al año.
Beneficios para el asociado: Flexibilidad de horarios, rapidez, garantía, revisiones gratuitas, economía, descuentos de hasta el 15% en todos los proyectos de reforma y rehabilitación. 
Servicios:  Albañilería, pladur, escayola, marmolería, alicatados, accesibilidad para personas de movilidad reducida, reparación de humedades y bajantes, reparación de instalaciones de agua, electricidad e iluminación, calefacción y climatización, trabajos de pintura, vidriería,carpintería de aluminio y PVC, carpintería de madera, aislamiento térmico y acústico, servicios de mudanzas, limpiezas, contraincendios..."						"REFORMAS"
20	"SOLVING "	" Ofrecen un estudio previo de presupuesto, sin ningún compromiso y con un 15% de descuento a los asociados.
Es una empresa que ayuda a sus clientes a gestionar sus edificios y locales, prolongando la vida útil de los mismos así como de las instalaciones que los componen, solucionando de manera eficiente sus incidencias, controlando los gastos y teniendo en cuenta el desarrollo sostenible.
Ofrecen la contratación de los siguientes servicios:
-         Diseño de proyectos, reformas y decoración.
-         Servicios técnicos.
-         Mantenimiento preventivo y correctivo."						"mantenimiento integral y servicios"
21	"SUKOT"	" ·         15% de descuento en ALARMAS INTRUSIÓN.
·         30% de descuento el primer año en CONEXIÓN A CRA.
·         30% de descuento el primer año en ACUDA/CUSTODIA DE LLAVES.
·         15% de descuento en VÍDEO-VIGILANCIA Y TELE-VIGILANCIA.
·         7% de descuento en SISTEMAS ANTI-HURTO.
·         10% de descuento en CAJAS FUERTES.
DESCUENTO NO ACUMULABLE A OTRAS PROMOCIONES O DESCUENTOS."						"Cerrajería y Seguridad electrónica"
22	"UNIPOST"	"Ahorros de hasta un 40% en envíos postales en las localidades de Pamplona, Berriozar, Ansoain, Barañain y Mendillorri."						"PAQUETERÍA"
23	"VALSAY"	"Descuento de hasta el 7% sobre el mejor precio ofertado por Valsay en bolsas, material de embalaje y empaquetado...
·         Disponibilidad de las instalaciones de Valsay como almacén para aquellos comercios que no dispongan de espacio para almacenar bolsas."			"948 71 23 71 "			"BOLSAS EMBALAJE"
